sd_size	sd_par_size	min_size_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.416667	0.600000	1.500000	0.040350	0.095450	10.000000	10.712079	11.502540	2999
0.416667	0.600000	1.500000	0.051213	0.082160	10.000000	10.667005	11.502576	2999
0.416667	0.600000	1.500000	0.053027	0.080513	10.000000	10.660456	11.503265	2999
0.416667	0.600000	1.500000	0.045837	0.087343	10.000000	10.689146	11.502509	2999
0.416667	0.600000	1.500000	0.059677	0.074053	10.000000	10.634983	11.502261	2999
0.416667	0.600000	1.500000	0.046580	0.087100	10.000000	10.685958	11.502519	2999
0.416667	0.600000	1.500000	0.058103	0.076470	10.000000	10.640577	11.502420	2999
0.416667	0.600000	1.500000	0.041533	0.092670	10.000000	10.707290	11.502821	2999
0.416667	0.600000	1.500000	0.054547	0.078003	10.000000	10.653314	11.502572	2999
0.416667	0.600000	1.500000	0.057547	0.076277	10.000000	10.643098	11.502528	2999
0.416667	0.600000	1.500000	0.053830	0.079387	10.000000	10.656318	11.502536	2999
0.416667	0.600000	1.500000	0.046857	0.086570	10.000000	10.682935	11.502737	2999
